Format name,Starting value for format,Ending value for format,Format value label
BDYPT,0,0,0 - INTERNAL
BDYPT,30,30,30 - SHOULDER
BDYPT,31,31,31 - UPPER TRUNK
BDYPT,32,32,32 - ELBOW
BDYPT,33,33,33 - LOWER ARM
BDYPT,34,34,34 - WRIST
BDYPT,35,35,35 - KNEE
BDYPT,36,36,36 - LOWER LEG
BDYPT,37,37,37 - ANKLE
BDYPT,38,38,38 - PUBIC REGION
BDYPT,75,75,75 - HEAD
BDYPT,76,76,76 - FACE
BDYPT,77,77,77 - EYEBALL
BDYPT,78,78,78 - UPPER TRUNK(OLD)
BDYPT,79,79,79 - LOWER TRUNK
BDYPT,80,80,80 - UPPER ARM
BDYPT,81,81,81 - UPPER LEG
BDYPT,82,82,82 - HAND
BDYPT,83,83,83 - FOOT
BDYPT,84,84,84 - 25-50% OF BODY
BDYPT,85,85,85 - ALL PARTS BODY
BDYPT,86,86,86 - OTHER(OLD)
BDYPT,87,87,87 - NOT STATED/UNK
BDYPT,88,88,88 - MOUTH
BDYPT,89,89,89 - NECK
BDYPT,90,90,90 - LOWER ARM(OLD)
BDYPT,91,91,91 - LOWER LEG(OLD)
BDYPT,92,92,92 - FINGER
BDYPT,93,93,93 - TOE
BDYPT,94,94,94 - EAR
