"Recall Number","Date","Recall Heading","Name of Product","Description","Hazard","Remedy Type","Units","Conjunction With","Incidents","Remedy","Sold At","Distributors","Manufactured In"
"21-707","November 12, 2020","Zinus Recalls Bunk Beds Due Fall and Injury Hazards (Recall Alert)","Zinus metal bunk beds","This recall involves three models of Zinus’ metal bunk beds.  The OPLBB model is a black twin-over-twin bed whose bed posts have a square cross section.  The RPBB model is a blue twin-over-twin bed whose bed posts have a circular cross section.  The NTBB model is a gray twin-over-full bed whose bed posts have a circular cross section.  All models have ladders built into both the head and foot of the bed.  The model number is printed on a label on the horizontal bar of the guard rail of the upper bunk.","The welds that secure the upper bunk can come apart, causing the upper bunk to collapse, posing fall and injury hazards.","Refund","About 26,000","","The firm has received 13 reports of the bunk bed welds coming apart including three reports of multiple welds simultaneously failing.  Of the 13 reports received, three resulted in bumps and bruises after the consumer fell to the floor from the upper bunk when the welds failed.   ","Consumers should immediately stop using the recalled upper bunk and contact the firm for instructions on receiving a free repair kit with reinforcement brackets or a full refund. Zinus is contacting all purchasers directly. ","Online at www.amazon.com, www.walmart.com, www.wayfair.com, www.overstock.com, www.homedepot.com and www.zinus.com from December 2016 through January 2020 for between $90 and $240.","","China"
"21-708","November 12, 2020","InvoSpa Recalls Heated Blankets Due to Fire and Burn Hazards; Sold Exclusively at Amazon.com (Recall Alert)","Electric Throw Heated Blankets","This recall involves InvoSpa electric throw heated blankets.  The recalled blankets measure 50 inches by 60 inches.  The blankets are made of silky flannel and sherpa shu velveteen and are white and gray.  Model number ML-G03 and InvoSpa are printed on a tag on the blanket. ","The recalled blankets can overheat, posing fire and burn hazards.  ","Refund","About 7,050","","The firm has received 26 reports of overheating including one consumer describing a minor burn injury and another an unspecified injury.","Consumers should immediately stop using the recalled blankets and contact InvoSpa for instructions on how to receive a full refund.  All purchasers will be contacted by InvoSpa.","Exclusively online at Amazon.com from November 2019 through July 2020 for about $70.","","China"
"21-025","November 10, 2020","Quality Bicycle Products Recalls Salsa Cycles  Cutthroat Bicycles Due To Injury Hazard","Salsa Cutthroat Bicycles and Forks","This recall involves 2020 Salsa Cutthroat series bicycles, including:  Salsa Cutthroat with model names GRX 810 Di2, GRX 810 1x, GRX 600, Apex 1, framesets, and Carbon Deluxe V2 aftermarket forks.  The model name is printed on the frame of the bicycles.  The bicycles are sold in a variety of different colors and sizes.  This recall involves only Cutthroat bicycles, framesets and forks in which the fork serial number contains the letter G.  A Cutthroat fork serial number is visible when the fork is removed from the frame.


	
		
			
			Recalled 2020 Salsa Cutthroat Model Names
			
		
		
			
			Salsa Cutthroat GRX 810 Di2
			
		
		
			
			Salsa Cutthroat GRX 810 1x
			
		
		
			
			Salsa Cutthroat GRX 600
			
		
		
			
			Salsa Cutthroat Apex 1
			
		
		
			
			Salsa Cutthroat framesets
			
		
		
			
			Salsa Cutthroat Carbon Deluxe V2 aftermarket fork (Matte and Gloss)","The bicycleâs fork legs can crack or break, posing a fall hazard to the rider.","Replace","About 600 (In addition,  about 100 were sold in Canada) ","3674","Salsa Cycles has received seven reports of cracked forks.  No injuries have been reported.","Consumers should immediately stop using the recalled bicycles, contact Salsa Cycles, and bring the recalled Salsa Cutthroat bicycles, framesets, and aftermarket forks to a Salsa authorized retailer for inspection and free installation of a replacement fork.","Salsa authorized bicycle dealerships nationwide from September 2019 through September 2020 for between $2,700 and $5,800.","","China"
"21-026","November 10, 2020","Arena North America Recalls Swim Snorkels Due to Choking Hazard","Arena Swim Snorkels Pro II and Swim Snorkels II","This recall involves the Arena Swim Snorkel Pro II (style 001969) sold in black, acid lime and pink and Swim Snorkel II (style 001970) sold in black and acid lime.  Both styles have the “Arena” logo printed on the top of the tube.  The style code and production date are printed on the tube above the mouthpiece along with EN 1972 Class A and Made in China.  The recall includes the following styles:  


	
		
			
			Style
			
			
			Color
			
			
			Style code
			
		
		
			
			Arena Swim Snorkel Pro II
			
			
			Black
			
			
			001969-501
			
		
		
			 
			
			Acid Lime
			
			
			001969-605
			
		
		
			 
			
			Pink
			
			
			001969-905
			
		
		
			
			Swim Snorkel II
			
			
			Black
			
			
			001970-501
			
		
		
			 
			
			Acid Lime
			
			
			001970-605","The swim snorkels can release excess material from inside the tube or mouthpiece, posing a choking hazard to the user.","Replace","About 3,350 (In addition about 3,500 were sold in Canada and 3,100 were sold in Mexico)","3672","The firm has received one report of a small piece of the swim snorkel being inhaled.","Consumers should immediately stop using the recalled snorkels and contact the firm for a free replacement tube or mouthpiece.","Xtreme swim stores, Metro swim shops, Swim Suit West stores nationwide and online from arenasport.com and amazon.com from February 2018 through May 2020 for between $35 and $45. 

 ","","China"
"21-027","November 10, 2020","Fire Pit Tables Sold Exclusively at Big Lots Recalled Due to Fire Hazard; Manufactured by Sunjoy","Oakmont LP fire pit tables","This recall involves Sunjoy’s Oakmont LP fire pit tables.  The natural tile, square fire pit tables measure about 38 inches wide, 38 inches deep and 25.6 inches high.  They have a powder-coated steel frame with an all-weather wicker base that conceals a 20 lb. liquid propane (LP) tank.  The tables operate with push button ignition and have an adjustable flame with a steel burner cover included.","An incorrectly installed burner kit hose can melt and ignite, posing a fire hazard. ","Replace","About 10,900","","Sunjoy has received 17 reports of the fire pit tables hose installed incorrectly with 12 of those fire pit tables igniting, resulting in 4 reports of minor property damage.  The firm has received one report of a consumer who was burned on their hand.","Consumers should immediately stop using the fire pit tables and contact Sunjoy to receive a free replacement burner kit and installation instructions.    ","Big Lots stores nationwide and online from January 2020 through June 2020 for about $480. ","","China"
"21-029","November 10, 2020","Bolek’s Craft Supplys Recalls Wintergreen Essential Oil Due to Failure to Meet Child Resistant Packaging Requirement; Risk of Poisoning","Crafty Bubbles Wintergreen Essential Oil","This recall involves Crafty Bubbles Wintergreen Essential oil in amber 15 mL and 100 mL bottles with a black continuous thread cap.  “Crafty Bubbles,” “Wintergreen Essential Oil” and the volume amount are printed on the white label on the front of each bottle. ","The product contains the substance methyl salicylate, which must be in child resistant packaging as required by the Poison Prevention Packaging Act (PPPA).  The packaging of the product is not child resistant, posing a poisoning risk if the contents are swallowed by young children.","Refund","About 5,600",""," None reported.","Consumers should immediately store the product in a safe location out of reach of children and contact Bolekâs Craft Supplys for a full refund. ","Bolekâs Craft Supplys and Hobby Lobby stores nationwide and online at Bolek's Craft Supplys, Notions Marketing, Petersen-Arne, Hobby Lobby and other websites from January 2009 through January 2020 for between $3 and $13.","","United States"
"21-028","November 10, 2020","Ring Recalls Video Doorbells (2nd Generation) Due to Fire Hazard","Ring Video Doorbells (2nd Generation)","This recall involves Ring Video Doorbell (2nd Generation), model number 5UM5E5 smart doorbell cameras.  The video doorbells have a blue ring at the front and come in two colors: “satin nickel” (black and silver) and “venetian bronze” (black and bronze).  They were sold with a mounting bracket and a USB charging cable.  The two-way audio doorbell can be hardwired or battery-powered and supports night vision.  The Ring logo is printed on the bottom front of the doorbell and the model and S/N are on a label on the back of the doorbell and the outer packaging.  Consumers can determine if their doorbell is included in this recall by entering the doorbell’s serial number at http://support.ring.com/ring-2nd-gen-recall. Only Ring Video Doorbell (2nd Generation) models with certain serial numbers are included.","The video doorbellâs battery can overheat when the incorrect screws are used for installation, posing fire and burn hazards.","New Instructions","About 350,000 (In addition, about 8,700 were sold in Canada)","3671","Ring has received 85 incident reports of incorrect doorbell screws installed with 23 of those doorbells igniting, resulting in minor property damage.  The firm has received eight reports of minor burns.","Consumers should immediately stop installing the recalled video doorbells and contact Ring for revised installation instructions or download them here.  Consumers can check if their video doorbell is part of this recall through Ringâs website or app.","Electronics and home goods stores nationwide and online at Amazon.com and Ring.com from June 2020 through October 2020 for approximately $100.","","China"
"21-024","November 10, 2020","Kohl’s Recalls Three-Wick SONOMA Goods For Life Branded Candles Due to Fire and Burn Hazards","SONOMA Goods For Life branded three-wick candles","This recall involves SONOMA Goods For Life three-wick candles in the following models and scents:


	
		
			
			Model
			
			
			Fragrance
			
			
			Style Number
			
			
			UPC
			
			
			Date Code
			
		
		
			
			GROW
			
			
			Cape Jasmine
			
			
			01SNGDD01
			
			
			400681131954
			
			
			10/19
			
		
		
			
			HOME SWEET HOME
			
			
			White Lotus & Lilac
			
			
			01SNGDD03
			
			
			400292653180
			
			
			10/19
			
		
		
			
			SAIL AWAY
			
			
			Sunday Funday
			
			
			01SNGDD04
			
			
			400189096090
			
			
			10/19
			
		
		
			
			LIVE SIMPLY
			
			
			Mango Margarita
			
			
			01SNGDD06
			
			
			400304678057
			
			
			10/19
			
		
		
			
			BE HAPPY
			
			
			Honeydew Raspberry Sangria
			
			
			01SNGDD07
			
			
			400551335093
			
			
			10/19
			
		
		
			
			HELLO WORLD
			
			
			Pineapple Sugar
			
			
			01SNGDD09
			
			
			400681131985
			
			
			10/19
			
		
		
			
			DREAM
			
			
			Coconut Mahogany
			
			
			01SNGDD13
			
			
			400660700553
			
			
			10/19
			
		
		
			
			EXPLORE
			
			
			Cactus Rose Bloom
			
			
			01SNGDD17
			
			
			400292653210
			
			
			10/19
			
		
		
			
			I Woof You
			
			
			Rhubarb Berry Lemonade
			
			
			01CTDVD25
			
			
			400553244546
			
			
			10/19
			
		
		
			
			BLESSED
			
			
			Baked Apple
			
			
			03SNGDD01A
			
			
			400620031802
			
			
			06/20
			
		
		
			
			THANKFUL
			
			
			Falling Leaves
			
			
			03SNGDD02A
			
			
			400177580198
			
			
			06/20
			
		
		
			
			GRATEFUL
			
			
			Pumpkin Spice
			
			
			03SNGDD03A
			
			
			400757488494
			
			
			06/20
			
		
		
			
			HELLO FALL
			
			
			Pumpkin Spice
			
			
			03SNGDD04
			
			
			400624369253
			
			
			06/20
			
		
		
			
			MAKE TODAY
			
			
			Autumn Hayride
			
			
			03SNGDD06
			
			
			400709373526
			
			
			06/20
			
		
		
			
			MAKE LIFE
			
			
			Caramel Toffee
			
			
			03SNGDD07B
			
			
			400620031826
			
			
			06/20
			
		
		
			
			HAPPY DAY
			
			
			Crackling Cedarwood
			
			
			03SNGDD08B
			
			
			400177581027
			
			
			06/20
			
		
		
			
			THINK BE HAPPY
			
			
			Fall in Love
			
			
			03SNGDD10
			
			
			400337146257
			
			
			06/20
			
		
		
			
			ENJOY
			
			
			Vanilla Pumpkin Latte
			
			
			03SNGDD11
			
			
			400709374738
			
			
			06/20
			
		
		
			
			LIVE SIMPLY
			
			
			Caramel Toffee
			
			
			03SNGDD12
			
			
			400757490077
			
			
			06/20
			
		
		
			
			BE COZY
			
			
			Falling Leaves
			
			
			03SNGDD13
			
			
			400177580730
			
			
			06/20
			
		
		
			
			OUR HOME
			
			
			Pumpkin Spice
			
			
			03SNGDD15
			
			
			400496811737
			
			
			06/20
			
		
		
			
			PEACE
			
			
			Cozy Fireside
			
			
			04SNGDD01
			
			
			400692896828
			
			
			08/20
			
		
		
			
			MERRY
			
			
			Enchanted Forest
			
			
			04SNGDD03
			
			
			400467677928
			
			
			08/20
			
		
		
			
			MERRY & BRIGHT
			
			
			Gingerbread House
			
			
			04SNGDD05
			
			
			400189021672
			
			
			08/20
			
		
		
			
			BE COZY
			
			
			Sugar & Spice
			
			
			04SNGDD11
			
			
			400623348556
			
			
			08/20
			
		
		
			
			SNOWMEN
			
			
			Cocoa & Marshmallows
			
			
			04SNGDD13
			
			
			400640603041
			
			
			08/20
			
		
		
			
			ALL BE MERRY
			
			
			Balsam Fir
			
			
			04SNGDD15
			
			
			400610253177
			
			
			08/20
			
		
		
			
			TIS THE SEASON
			
			
			Holiday Cookies
			
			
			04SNGDD17
			
			
			400757426557
			
			
			08/20
			
		
		
			
			PINK CITY
			
			
			Spiced Holly Berry
			
			
			04SNGDD21
			
			
			400640603058
			
			
			08/20
			
		
		
			
			OH WHAT FUN
			
			
			Holiday Cookies
			
			
			04SNGDD24
			
			
			400757426564
			
			
			08/20
			
		
	


The candles come in glass containers with metal lids.  The model is the design/language on the exterior of the glass container.  The fragrance, style number, UPC and date code are contained on the label on the bottom of the glass container.","The candleâs high flames can ignite the surface of the wax or cause the glass to break, posing fire and burn hazards.  ","Refund","About 512,000","","Kohlâs has received 29 reports involving high flames and/or breaking glass containers with the three-wick candles, including five incidents resulting in minor burn injuries and six incidents involving minor property damage including burn marks on furniture, carpet, and/or countertops.","Consumers should immediately stop using the recalled candles and return them to the nearest Kohlâs store.  Consumers with a receipt will receive a full refund and consumers without a receipt will receive a store credit.","Kohlâs stores nationwide and online at www.Kohls.com from December 2019 through October 2020 for about $20. ","","China"
"21-020","November 4, 2020","YETI Recalls Rambler Travel Mugs with Stronghold Lid Due to Injury and Burn Hazards","Rambler® 20 oz Travel Mugs with Stronghold Lids","This recall involves the Rambler 20 oz Travel Mug with Stronghold Lid.  The travel mugs were sold in a variety of colors.  The recall only involves travel mugs with the date code 34204010.  The date code is located on the bottom of the travel mug base.  The SKU is located on the product packaging slip for online orders, and the product receipt for in-store purchases.


	
		
			
			Color
			
			
			SKU
			
			
			Date Code
			
		
		
			
			Black
			
			
			21070060046

			21070070041
			
			
			34204010
			
		
		
			
			Seafoam
			
			
			21070060048

			21070070043
			
			
			34204010
			
		
		
			
			Navy
			
			
			21070060047

			21070070042
			
			
			34204010
			
		
		
			
			Ice Pink
			
			
			21070060052

			21070070047
			
			
			34204010
			
		
		
			
			Northwoods Green
			
			
			21070060050

			21070070045
			
			
			34204010
			
		
		
			
			Graphite
			
			
			21070060066
			
			
			34204010
			
		
		
			
			Copper
			
			
			21070060064
			
			
			34204010","The magnet slider on the lid can eject and hot contents can spill out, posing injury and burn hazards.","Refund","About 241,500","","The firm has received two reports of the magnetic slider on the Rambler 20 oz Travel Mug with Stronghold Lid being ejected after being sealed with hot liquid.  No injuries have been reported.","Consumers should immediately stop using the Rambler 20 oz Travel Mug with Stronghold Lid and visit yeti.com for instructions on returning the lid or at a YETI store for a full refund.","YETI stores nationwide and online at www.yeti.com during October 2020 for about $35.","","China"
"21-021","November 4, 2020","Target Recalls Toddler Boots Due to Choking Hazard","Cat & Jack “Himani” and “Jaren” Toddler Boots","This recall includes the Cat & Jack “Himani” and “Jaren” toddlers’ boots in sizes 5 – 12.  The boots have an elastic lace with a toggle at the top that can be tightened to keep out snow.  The “Himani” boots were sold in navy and pink and the “Jaren” boots were sold in olive, black with multi-colored polka dots, pink with multi-colored polka dots, and navy with rainbows.  The product’s item number is printed inside the boot shaft.  

 

 

	
		
			
			Item Number
			
			
			Product Name
			
		
		
			
			077-03-3844
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 5
			
		
		
			
			077-03-3845
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 6
			
		
		
			
			077-03-3846
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 7
			
		
		
			
			077-03-3847
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 8
			
		
		
			
			077-03-3848
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 9
			
		
		
			
			077-03-3849
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 10
			
		
		
			
			077-03-3850
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 11
			
		
		
			
			077-03-3851
			
			
			Cat & Jack Himani Toddler Boys - Navy -Size 12
			
		
	



 

	
		
			
			Item Number
			
			
			Product Name
			
		
		
			
			093-01-9649
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 5
			
		
		
			
			093-01-9650
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 6
			
		
		
			
			093-01-9651
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 7
			
		
		
			
			093-01-9652
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 8
			
		
		
			
			093-01-9653
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 9
			
		
		
			
			093-01-9654
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 10
			
		
		
			
			093-01-9655
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 11
			
		
		
			
			093-01-9656
			
			
			Cat & Jack Himani Toddler Girls - Pink -Size 12
			
		
		
			
			Item Number
			
			
			Product Name
			
		
		
			
			077-03-3868
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 5
			
		
		
			
			077-03-3869
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 6
			
		
		
			
			077-03-3870
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 7
			
		
		
			
			077-03-3871
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 8
			
		
		
			
			077-03-3872
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 9
			
		
		
			
			077-03-3873
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 10
			
		
		
			
			077-03-3874
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 11
			
		
		
			
			077-03-3875
			
			
			Cat & Jack Jaren Toddler Boys - Olive -Size 12
			
		
		
			
			Item Number
			
			
			Product Name
			
		
		
			
			093-10-0891
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 5
			
		
		
			
			093-10-0892
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 6
			
		
		
			
			093-10-0893
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 7
			
		
		
			
			093-10-0894
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 8
			
		
		
			
			093-10-0895
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 9
			
		
		
			
			093-10-0896
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 10
			
		
		
			
			093-10-0897
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 11
			
		
		
			
			093-10-0898
			
			
			Cat & Jack Jaren Toddler Girls - Black -Size 12
			
		
		
			
			Item Number
			
			
			Product Name
			
		
		
			
			093-10-0944
			
			
			Cat & Jack Jaren Toddler Girls - Pink -Size 5
			
		
		
			
			093-10-0945
			
			
			Cat & Jack Jaren Toddler Girls - Pink –Size 6
			
		
		
			
			093-10-0946
			
			
			Cat & Jack Jaren Toddler Girls - Pink -Size 7
			
		
		
			
			093-10-0947
			
			
			Cat & Jack Jaren Toddler Girls - Pink -Size 8
			
		
		
			
			093-10-0948
			
			
			Cat & Jack Jaren Toddler Girls - Pink -Size 9
			
		
		
			
			093-10-0949
			
			
			Cat & Jack Jaren Toddler Girls - Pink -Size 10
			
		
		
			
			093-10-0950
			
			
			Cat & Jack Jaren Toddler Girls - Pink -Size 11
			
		
		
			
			093-10-0951
			
			
			Cat & Jack Jaren Toddler Girls - Pink -Size 12
			
		
		
			
			Item Number
			
			
			Product Name
			
		
		
			
			093-10-0957
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 5
			
		
		
			
			093-10-0958
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 6
			
		
		
			
			093-10-0959
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 7
			
		
		
			
			093-10-0960
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 8
			
		
		
			
			093-10-0961
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 9
			
		
		
			
			093-10-0962
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 10
			
		
		
			
			093-10-0963
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 11
			
		
		
			
			093-10-0964
			
			
			Cat & Jack Jaren Toddler Girls - Navy –Size 12
			
		
	



 ","The toggle on the boot can detach from the elastic lace, posing a choking hazard to children.","Refund","About 122,500","","The firm has received five reports of the elastic laces breaking and one report of both the elastic laces and toggle breaking.  No injuries have been reported.","Consumers should immediately take the recalled boots away from children and return them to any Target Store for a full refund.  If consumers purchased the boots on Target.com, they may contact Target to receive a prepaid return label to return the boots.","Target stores nationwide and online at Target.com and Google Express from September 2019 through February 2020 for about $30.","","China"
